movie_id,movie_title,release_date,poster_url,unknown,action,adventure,animation,childrens,comedy,crime,documentary,drama,fantasy,film_noir,horror,musical,mystery,romance,sci_fi,thriller,war,western,imdb_url_new
1,Toy Story (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BZTA3OWVjOWItNjE1NS00NzZiLWE1MjgtZDZhMWI1ZTlkNzYwXkEyXkFqcGc@..jpg,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0114709/?ref_=fn_ttl_ttl_1
2,GoldenEye (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BOGQxNmYyY2YtZGIyNy00ODgxLThhZWEtZGIyNjJhYzFlOTllXkEyXkFqcGc@..jpg,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0113189/?ref_=fn_ttl_ttl_1
3,Four Rooms (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BMmNlMjE5YTEtZTU1My00MDc1LTgwNzctNTZlYmJmNTM3ZjYzXkEyXkFqcGc@..jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0113101/?ref_=fn_ttl_ttl_1
4,Get Shorty (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@..jpg,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0113161/?ref_=fn_ttl_ttl_1
5,Copycat (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BY2ZiODRlYWMtOGViYS00ZTNiLTlkMGQtZTAxY2IyMDAzYzU2XkEyXkFqcGc@..jpg,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,https://www.imdb.com/title/tt0112722/?ref_=fn_ttl_ttl_1
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BMjExNzU2NDctYTQ4My00MmFkLTljN2UtN2MzYWQ1NTFiNDEyXkEyXkFqcGc@..jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0115012/?ref_=fn_ttl_ttl_1
7,Twelve Monkeys (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BMDQwNDY0M2MtOGFmNy00ZjI5LTkzN2ItMzg5M2IwZTZjY2MyXkEyXkFqcGc@..jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,https://www.imdb.com/title/tt0114746/?ref_=fn_ttl_ttl_1
8,Babe (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@..jpg,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0112431/?ref_=fn_ttl_ttl_1
9,Dead Man Walking (1995),01-Jan-1995,https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@..jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,https://www.imdb.com/title/tt0112818/?ref_=fn_ttl_ttl_1
10,Richard III (1995),22-Jan-1996,https://m.media-amazon.com/images/M/MV5BMWZjODNlYzAtNWIxZC00ZWRkLWFlMjctZGVlMDYxZTU1MGM1XkEyXkFqcGc@..jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,https://www.imdb.com/title/tt0114279/?ref_=fn_ttl_ttl_1
